,rule,gp_effect_size,gp_num,gp_trt_effect,gp_p,gp_1_mean,gp_1_num,gp_0_mean,gn_trt_effect,gn_p,gn_1_mean,gn_1_num,gn_0_mean,trt_effect_1,p_1,trt_effect_0,p_0,gp_power,power_1
0,"(1, (0,), 'equal')",-0.3506950024513633,122,-0.4685952380952374,0.06774432002861694,6.980500000000001,80,7.449095238095238,-0.2377874999999996,0.3782125517999032,7.372212500000001,80,7.61,-0.3917124999999997,0.05913640919225998,-0.16090476190476188,0.5599669552675264,0.8261226035312935,0.8361759219899783
1,"(1, (1,), 'equal')",-0.26208999322811666,93,-0.35125373878365007,0.28508261859057304,7.233305084745762,59,7.584558823529412,-0.33880219543693624,0.1542903159186118,7.143089108910891,101,7.481891304347827,0.09021597583487129,0.6117984239339235,0.10266751918158512,0.7889710243145884,0.4704701368178724,0.004366319374365238
2,"(1, (2,), 'equal')",-0.062148628073255434,25,-0.06377380952380918,0.710917113388619,7.762476190476191,21,7.82625,-0.4218916130253678,0.034680081388087765,7.087805755395684,139,7.509697368421052,0.6746704350805066,0.038521927002679535,0.316552631578948,0.46631197673878844,0.04874197995342098,8.13028051394942e-13
3,"(1, (0, 1), 'equal')",-0.315774792476466,215,-0.4218916130253678,0.034680081388087765,7.087805755395684,139,7.509697368421052,-0.06377380952380918,0.710917113388619,7.762476190476191,21,7.82625,-0.6746704350805066,0.038521927002679535,-0.316552631578948,0.46631197673878844,0.9339097466808773,0.9991646994329872
4,"(1, (1, 2), 'equal')",-0.18472512682339196,118,-0.2377874999999996,0.3782125517999032,7.372212500000001,80,7.61,-0.4685952380952374,0.06774432002861694,6.980500000000001,80,7.449095238095238,0.3917124999999997,0.05913640919225998,0.16090476190476188,0.5599669552675264,0.34415431965091103,4.819664953860994e-07
5,"(2, (0,), 'equal')",-0.353957543131637,107,-0.47783191850594253,0.0944834873495125,7.020684210526316,76,7.498516129032258,-0.22540986394557905,0.4077044445681842,7.317202380952381,84,7.54261224489796,-0.2965181704260651,0.13494309278456762,-0.04409611586570161,0.917411260192041,0.7740296548601553,0.5959634020666712
6,"(2, (1,), 'equal')",-0.36517064834111007,103,-0.4710742063492068,0.10952925025203845,7.161650793650794,63,7.632725000000001,-0.23241778350515485,0.3646313036340394,7.185907216494845,97,7.418325,-0.024256422844051606,0.9721404992807016,0.21440000000000037,0.576772508859924,0.8193533064403774,0.03736665037791136
7,"(2, (2,), 'equal')",0.5222804278804971,30,0.6417460317460328,0.2304146272920281,7.783857142857143,21,7.14211111111111,-0.4895512209950361,0.014199618408944284,7.084575539568345,139,7.574126760563381,0.6992816032887985,0.03075611446912825,-0.43201564945227044,0.46952338798773896,9.00967929748152e-06,1.909424084869059e-13
8,"(2, (0, 1), 'equal')",-0.37189416663452457,210,-0.4895512209950361,0.014199618408944284,7.084575539568345,139,7.574126760563381,0.6417460317460328,0.2304146272920281,7.783857142857143,21,7.14211111111111,-0.6992816032887985,0.03075611446912825,0.43201564945227044,0.46952338798773896,0.9835795369042504,0.9995838615901251
9,"(2, (1, 2), 'equal')",-0.17464816793865065,133,-0.22540986394557905,0.4077044445681842,7.317202380952381,84,7.54261224489796,-0.47783191850594253,0.0944834873495125,7.020684210526316,76,7.498516129032258,0.2965181704260651,0.13494309278456762,0.04409611586570161,0.917411260192041,0.3447851760665064,1.5710691220473312e-05
