,rule,ratio,minus,trt_effect,nongroup_trt_effect,number,p_val,non_p_val,abs(ratio),abs(number-100),score
0,"[4, [0], 0]",1.47034743902319,-0.32735634840387196,-1.023344720496894,-0.695988372093022,111.0,0.00022354537714055586,0.0010109307715362114,1.47034743902319,11.0,0.0
1,"[4, [1], 0]",0.8817315693330466,0.10560254845181305,-0.7873030888030881,-0.8929056372549011,107.0,0.001270737427808002,0.0003293604630850212,0.8817315693330466,7.0,0.0
2,"[4, [0, 2], 0]",1.1341320133931612,-0.10560254845181305,-0.8929056372549011,-0.7873030888030881,133.0,0.0003293604630850212,0.001270737427808002,1.1341320133931612,33.0,0.0
3,"[4, [1, 2], 0]",0.6801113624303243,0.32735634840387196,-0.695988372093022,-1.023344720496894,129.0,0.0010109307715362114,0.00022354537714055586,0.6801113624303243,29.0,0.0
4,"[5, [0], 0]",1.272223355399188,-0.2026299222445278,-0.9469816401468787,-0.7443517179023509,119.0,0.0004436908993339228,0.0007967421686423909,1.272223355399188,19.0,0.0
5,"[5, [1], 0]",0.8370590649877507,0.1474723969780216,-0.7575941964285722,-0.9050665934065938,99.0,0.001381385495232915,0.00019984110977047635,0.8370590649877507,1.0,0.0
6,"[5, [0, 2], 0]",1.1946588261542017,-0.1474723969780216,-0.9050665934065938,-0.7575941964285722,141.0,0.00019984110977047635,0.001381385495232915,1.1946588261542017,41.0,0.0
7,"[5, [1, 2], 0]",0.7860255007551155,0.2026299222445278,-0.7443517179023509,-0.9469816401468787,121.0,0.0007967421686423909,0.0004436908993339228,0.7860255007551155,21.0,0.0
8,"[6, [0], 0]",1.2893216498175328,-0.2165934200946502,-0.965218420094649,-0.7486249999999988,108.0,0.00023207437617305468,0.0012404572362062715,1.2893216498175328,8.0,0.0
9,"[6, [1], 0]",1.420832912828896,-0.2996296537501353,-1.0116216216216216,-0.7119919678714863,109.0,0.000133270279963421,0.0026588209384391494,1.420832912828896,9.0,0.0
10,"[6, [0, 2], 0]",0.7038125250132246,0.2996296537501353,-0.7119919678714863,-1.0116216216216216,131.0,0.0026588209384391494,0.000133270279963421,0.7038125250132246,31.0,0.0
11,"[6, [1, 2], 0]",0.7756016507917336,0.2165934200946502,-0.7486249999999988,-0.965218420094649,132.0,0.0012404572362062715,0.00023207437617305468,0.7756016507917336,32.0,0.0
12,"[7, [0], 0]",0.9937123177345019,0.005317783396685982,-0.8404284188034188,-0.8457462022001048,111.0,0.0012352566867028759,0.00027676684363214056,0.9937123177345019,11.0,0.0
13,"[7, [1], 0]",1.364130194151716,-0.263249553600704,-0.9862040293040293,-0.7229544757033253,109.0,0.0001800873653501873,0.0017516841964000526,1.364130194151716,9.0,0.0
14,"[7, [0, 2], 0]",0.7330678583959133,0.263249553600704,-0.7229544757033253,-0.9862040293040293,131.0,0.0017516841964000526,0.0001800873653501873,0.7330678583959133,31.0,0.0
15,"[7, [1, 2], 0]",1.0063274673698652,-0.005317783396685982,-0.8457462022001048,-0.8404284188034188,129.0,0.00027676684363214056,0.0012352566867028759,1.0063274673698652,29.0,0.0
16,"[8, [0], 0]",1.4906957369541127,-0.3399483564982546,-1.0327368421052627,-0.6927884856070081,108.0,0.00019291277717944954,0.002262861675815163,1.4906957369541127,8.0,0.0
17,"[8, [1], 0]",0.7656597807609428,0.22087401545164553,-0.7216616541353389,-0.9425356695869844,108.0,0.003420618005747852,0.00013044121897993701,0.7656597807609428,8.0,0.0
18,"[8, [0, 2], 0]",1.3060631172322525,-0.22087401545164553,-0.9425356695869844,-0.7216616541353389,132.0,0.00013044121897993701,0.003420618005747852,1.3060631172322525,32.0,0.0
19,"[8, [1, 2], 0]",0.670827704950217,0.3399483564982546,-0.6927884856070081,-1.0327368421052627,132.0,0.002262861675815163,0.00019291277717944954,0.670827704950217,32.0,0.0
20,"[9, [0], 0]",1.344224459103802,-0.25267679211469396,-0.9867233870967738,-0.7340465949820798,102.0,0.00027683522313042154,0.001231223322637859,1.344224459103802,2.0,0.0
21,"[9, [1], 0]",0.7432944380212483,0.2491669753086425,-0.7214663580246912,-0.9706333333333337,121.0,0.0021086620977973083,0.00012931663482407908,0.7432944380212483,21.0,0.0
22,"[9, [0, 2], 0]",1.34536187659649,-0.2491669753086425,-0.9706333333333337,-0.7214663580246912,119.0,0.00012931663482407908,0.0021086620977973083,1.34536187659649,19.0,0.0
23,"[9, [1, 2], 0]",0.7439233776974291,0.25267679211469396,-0.7340465949820798,-0.9867233870967738,138.0,0.001231223322637859,0.00027683522313042154,0.7439233776974291,38.0,0.0
24,"[10, [0], 0]",1.6285344006670455,-0.4122923779042207,-1.068250711237554,-0.6559583333333334,113.0,0.00028209646624033596,0.000879680383637471,1.6285344006670455,13.0,0.0
25,"[10, [1], 0]",0.8324976717592633,0.1548072407149812,-0.7694022454510261,-0.9242094861660073,104.0,0.0004501658009609291,0.0004486215886810896,0.8324976717592633,4.0,0.0
26,"[10, [0, 2], 0]",1.201204560592662,-0.1548072407149812,-0.9242094861660073,-0.7694022454510261,136.0,0.0004486215886810896,0.0004501658009609291,1.201204560592662,36.0,0.0
27,"[10, [1, 2], 0]",0.6140490490040624,0.4122923779042207,-0.6559583333333334,-1.068250711237554,127.0,0.000879680383637471,0.00028209646624033596,0.6140490490040624,27.0,0.0
28,"[11, [0], 0]",1.1570988479573425,-0.12274306282583947,-0.9040540935672503,-0.7813110307414108,112.0,0.0019184303677070287,0.00016830459739463098,1.1570988479573425,12.0,0.0
29,"[11, [1], 0]",0.8509741048934837,0.1348883051907448,-0.7702450281425888,-0.9051333333333336,106.0,0.0005256145918004722,0.0005723790769776363,0.8509741048934837,6.0,0.0
30,"[11, [0, 2], 0]",1.1751238894927005,-0.1348883051907448,-0.9051333333333336,-0.7702450281425888,134.0,0.0005723790769776363,0.0005256145918004722,1.1751238894927005,34.0,0.0
